,Unnamed: 0.1,Unnamed: 0,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
14,17,21,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,Manga,VAP,Action,OLM,25.0,25 min per ep,R+ - Mild Nudity,8.47,166504.0,124.0,222.0,13782.0,Wednesdays at 01:45 (JST),Fall,1997
18,21,30,Ai Yori Aoshi,Ai Yori Aoshi,藍より青し,TV,Manga,Movic,Drama,J.C.Staff,24.0,23 min per ep,PG-13 - Teens 13 or older,7.2,40592.0,2844.0,1139.0,415.0,Unknown,Spring,2002
19,22,32,Arc the Lad,Arcsalad,アークザラッド,TV,Game,Sony Pictures Entertainment,Action,Bee Train,26.0,22 min per ep,R - 17+ (violence & profanity),6.59,4474.0,5373.0,3623.0,16.0,Mondays at 19:00 (JST),Spring,1999
20,23,33,Avenger,Avenger,アヴェンジャー,TV,Original,Production I.G,Adventure,Bee Train,13.0,24 min per ep,R - 17+ (violence & profanity),5.96,5451.0,7805.0,3427.0,19.0,Unknown,Fall,2003
24,27,37,Chrno Crusade,Chrono Crusade,クロノクルセイド,TV,Manga,Lantis,Supernatural,Gonzo,24.0,23 min per ep,R - 17+ (violence & profanity),7.75,81366.0,985.0,530.0,1946.0,Tuesdays at 02:28 (JST),Fall,2003
25,28,38,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,Manga,Kadokawa Shoten,Comedy,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.3,78088.0,2456.0,637.0,1448.0,Unknown,Spring,2003
26,29,39,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,Visual novel,Lantis,Drama,feel.,26.0,24 min per ep,PG-13 - Teens 13 or older,6.86,24731.0,4164.0,1485.0,183.0,Saturdays at Unknown,Summer,2003
30,33,43,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,TV,Manga,GDH,Supernatural,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.64,57199.0,1249.0,722.0,1345.0,Unknown,Spring,2005
31,34,44,Cluster Edge,Cluster Edge,CLUSTER EDGE（クラスターエッジ）,TV,Original,Bandai Visual,Sci-Fi,Sunrise,25.0,24 min per ep,PG-13 - Teens 13 or older,6.44,2241.0,6013.0,4332.0,13.0,Wednesdays at 01:00 (JST),Fall,2005
33,36,46,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,Light novel,Tatsunoko Production,Action,Kyoto Animation,12.0,24 min per ep,PG-13 - Teens 13 or older,8.14,133639.0,385.0,399.0,2743.0,Unknown,Summer,2003
35,38,48,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,Original,TV Tokyo Music,Drama,Xebec,25.0,24 min per ep,PG-13 - Teens 13 or older,7.35,10912.0,2286.0,2124.0,232.0,Unknown,Summer,2004
39,42,52,Mobile Suit Gundam,Mobile Suit Gundam,機動戦士ガンダム,TV,Original,Sotsu,Sci-Fi,Sunrise,43.0,25 min per ep,PG-13 - Teens 13 or older,7.85,31375.0,804.0,1270.0,1438.0,Saturdays at 17:30 (JST),Spring,1979
40,43,57,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,Original,Sotsu,Romance,Sunrise,50.0,24 min per ep,PG-13 - Teens 13 or older,7.99,20063.0,586.0,1923.0,1292.0,Unknown,Spring,1985
42,45,61,Mobile Suit Victory Gundam,Mobile Suit V Gundam,機動戦士Vガンダム,TV,Original,TV Asahi,Drama,Sunrise,51.0,24 min per ep,PG-13 - Teens 13 or older,6.85,6156.0,4214.0,3167.0,82.0,Fridays at 17:00 (JST),Spring,1993
43,46,62,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,Original,TV Asahi,Sci-Fi,Sunrise,49.0,24 min per ep,PG-13 - Teens 13 or older,7.82,62406.0,867.0,909.0,2278.0,Fridays at 17:00 (JST),Spring,1995
48,51,68,Last Exile,Last Exile,LAST EXILE（ラストエグザイル）,TV,Original,GDH,Adventure,Gonzo,26.0,24 min per ep,PG-13 - Teens 13 or older,7.89,55389.0,722.0,743.0,1709.0,Tuesdays at 01:30 (JST),Spring,2003
50,53,70,Mai-Otome,My-Otome,舞-乙HiME,TV,Original,Bandai Visual,Comedy,Sunrise,26.0,24 min per ep,PG-13 - Teens 13 or older,7.36,21354.0,2242.0,1904.0,322.0,Fridays at 01:30 (JST),Fall,2005
51,54,71,Air,Air,AIR,TV,Visual novel,Pony Canyon,Romance,Kyoto Animation,12.0,24 min per ep,PG-13 - Teens 13 or older,7.41,120702.0,1994.0,381.0,2584.0,Fridays at 00:30 (JST),Winter,2005
52,55,72,Aishiteruze Baby★★,I love you Babe ★★,愛してるぜ ベイベ★★,TV,Manga,Animax,Romance,TMS Entertainment,26.0,25 min per ep,PG-13 - Teens 13 or older,7.54,40784.0,1541.0,1202.0,518.0,Sundays at 19:00 (JST),Spring,2004
53,56,73,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,TV,Manga,Nihon Ad Systems,Romance,Studio Gallop,74.0,24 min per ep,G - All Ages,7.46,3269.0,1797.0,4019.0,75.0,Fridays at 18:00 (JST),Winter,1994
54,57,74,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,TV,Manga,Bandai Visual,Supernatural,Studio Pierrot,24.0,21 min per ep,R - 17+ (violence & profanity),7.33,21170.0,2335.0,1775.0,501.0,Thursdays at 18:30 (JST),Spring,2000
55,58,75,Boys Be...,Boys Be...,ボーイズ・ビー,TV,Manga,Audio Tanaka,Comedy,Hal Film Maker,13.0,23 min per ep,PG-13 - Teens 13 or older,6.52,7160.0,5690.0,3087.0,41.0,Tuesdays at 18:30 (JST),Spring,2000
56,60,77,Ou Dorobou Jing,Jing: King of Bandits,王ドロボウ JING,TV,Manga,Aniplex,Fantasy,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.31,11279.0,2441.0,2375.0,196.0,Unknown,Spring,2002
57,61,79,Bakuretsu Tenshi,Burst Angel,爆裂天使,TV,Original,GDH,Adventure,Gonzo,24.0,23 min per ep,PG-13 - Teens 13 or older,6.89,24602.0,4047.0,1542.0,251.0,Tuesdays at 02:12 (JST),Spring,2004
60,65,83,Sakigake!! Cromartie Koukou,Cromartie High School,魁!! クロマティ高校,TV,Manga,TV Tokyo Music,Comedy,Production I.G,26.0,12 min per ep,PG-13 - Teens 13 or older,7.99,36280.0,587.0,1039.0,1372.0,Fridays at Unknown,Fall,2003
61,66,84,El Hazard: The Alternative World,Another dimension of the world Elhazard,異次元の世界エルハザード,TV,Original,Pioneer LDC,Fantasy,AIC,13.0,25 min per ep,PG-13 - Teens 13 or older,6.9,3851.0,4011.0,4253.0,9.0,Thursdays at 01:15 (JST),Winter,1998
62,67,85,El Hazard: The Wanderers,El-Hazard: The Wanderers,神秘の世界エルハザード,TV,Original,TV Tokyo,Fantasy,AIC,26.0,23 min per ep,PG-13 - Teens 13 or older,7.04,5131.0,3509.0,3674.0,33.0,Fridays at 18:30 (JST),Fall,1995
63,68,88,Final Approach,φ Naru / Aporochi,φなる・あぷろーち,TV,Visual novel,Trinet Entertainment,Comedy,Zexcs,13.0,14 min per ep,PG-13 - Teens 13 or older,6.63,14922.0,5212.0,2362.0,45.0,Unknown,Fall,2004
64,69,89,Fruits Basket,Fruits Basket,フルーツバスケット,TV,Manga,TV Tokyo,Slice of Life,Studio Deen,26.0,24 min per ep,PG-13 - Teens 13 or older,7.77,175617.0,951.0,244.0,7892.0,Thursdays at 18:00 (JST),Summer,2001
65,70,90,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,TV,Manga,Aniplex,Shounen,Bones,51.0,24 min per ep,PG-13 - Teens 13 or older,8.28,524986.0,268.0,27.0,22764.0,Saturdays at 18:00 (JST),Fall,2003
66,71,91,Full Moon wo Sagashite,Searching for the Full Moon,満月をさがして,TV,Manga,Nihon Ad Systems,Drama,Studio Deen,52.0,24 min per ep,PG-13 - Teens 13 or older,8.04,32470.0,508.0,1241.0,1628.0,Saturdays at 07:30 (JST),Spring,2002
68,73,94,Futakoi,Twin Love,双恋,TV,Original,Lantis,School,Telecom Animation Film,13.0,24 min per ep,PG-13 - Teens 13 or older,6.57,13132.0,5480.0,2389.0,19.0,Unknown,Fall,2004
69,74,95,Futakoi Alternative,Futako Alternative,フタコイ オルタナティブ,TV,Original,Lantis,Comedy,ufotable,13.0,24 min per ep,PG-13 - Teens 13 or older,6.98,9636.0,3729.0,2520.0,64.0,Unknown,Spring,2005
70,75,96,Gate Keepers,Gatekeepers,ゲートキーパーズ,TV,Game,Media Factory,Shounen,Gonzo,24.0,25 min per ep,PG-13 - Teens 13 or older,7.04,7175.0,3511.0,3125.0,55.0,Unknown,Spring,2000
71,76,98,Gensoumaden Saiyuuki,Saiyuki,幻想魔伝 最遊記,TV,Manga,TV Tokyo,Comedy,Studio Pierrot,50.0,23 min per ep,R - 17+ (violence & profanity),7.67,15344.0,1183.0,1943.0,772.0,Tuesdays at 18:30 (JST),Spring,2000
72,79,101,GetBackers,Getbackers,ゲットバッカーズ　奪還屋,TV,Manga,TBS,Comedy,Studio Deen,49.0,24 min per ep,PG-13 - Teens 13 or older,7.68,38643.0,1152.0,1043.0,847.0,Saturdays at 17:30 (JST),Fall,2002
73,80,102,Green Green,Green Green,グリーングリーン,TV,Visual novel,Pony Canyon,Romance,Studio Matrix,12.0,24 min per ep,R+ - Mild Nudity,6.34,55059.0,6465.0,1001.0,250.0,Unknown,Summer,2003
74,81,103,Gunslinger Girl,Gunslinger Girl,ガンスリンガー・ガール,TV,Manga,Marvelous,Drama,Madhouse,13.0,24 min per ep,R - 17+ (violence & profanity),7.5,57472.0,1662.0,702.0,1040.0,Unknown,Fall,2003
75,82,104,Hikaru no Go,Hikaru no Go,ヒカルの碁,TV,Manga,TV Tokyo,Shounen,Studio Pierrot,75.0,23 min per ep,PG-13 - Teens 13 or older,8.16,41770.0,365.0,1054.0,1883.0,Unknown,Fall,2001
76,83,105,Hunter x Hunter,Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,Manga,Fuji TV,Action,Nippon Animation,62.0,23 min per ep,PG-13 - Teens 13 or older,8.47,126542.0,123.0,316.0,6423.0,Saturdays at 18:00 (JST),Fall,1999
77,85,110,Kannazuki no Miko,Destiny of the Shrine Maiden,神無月の巫女,TV,Manga,Studio Fantasia,Romance,TNK,12.0,24 min per ep,PG-13 - Teens 13 or older,6.98,22861.0,3736.0,1619.0,714.0,Unknown,Fall,2004
78,86,111,Kanon,Canon,カノン,TV,Visual novel,Movic,Romance,Toei Animation,13.0,24 min per ep,G - All Ages,7.2,20807.0,2861.0,1699.0,245.0,Unknown,Winter,2002
80,88,113,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,この醜くも美しい世界,TV,Original,Geneon Universal Entertainment,Drama,Gainax,12.0,24 min per ep,R+ - Mild Nudity,6.85,23719.0,4209.0,1709.0,171.0,Fridays at 00:30 (JST),Spring,2004
81,90,115,Loveless,Loveless,LOVELESS,TV,Manga,Bandai Visual,Drama,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.08,52430.0,3358.0,942.0,1589.0,Unknown,Spring,2005
82,91,116,Blood+,Blood+,ブラッドプラス,TV,Original,Aniplex,Drama,Production I.G,50.0,24 min per ep,R - 17+ (violence & profanity),7.75,112413.0,982.0,302.0,4222.0,Saturdays at 18:00 (JST),Fall,2005
85,94,120,Shaman King,Shaman King,シャーマンキング,TV,Manga,TV Tokyo,Adventure,Xebec,64.0,23 min per ep,PG-13 - Teens 13 or older,7.83,127151.0,852.0,366.0,3011.0,Wednesdays at 18:30 (JST),Summer,2001
86,95,122,X,X,X−エックス−,TV,Manga,Bandai Visual,Drama,Madhouse,24.0,24 min per ep,R+ - Mild Nudity,7.51,27469.0,1653.0,1468.0,734.0,Wednesdays at 18:30 (JST),Fall,2001
87,96,123,Mahou Sensei Negima!,Negima!,魔法先生 ネギま！,TV,Manga,Starchild Records,School,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.06,47384.0,3437.0,952.0,572.0,Thursdays at 01:00 (JST),Winter,2005
88,97,124,Maria-sama ga Miteru,Maria Watches Over Us,マリア様がみてる,TV,Light novel,Rondo Robe,Drama,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.43,14842.0,1923.0,1859.0,594.0,Thursdays at Unknown,Winter,2004
89,98,125,Boukyaku no Senritsu,The Melody of Oblivion,忘却の旋律,TV,Manga,Kadokawa Shoten,Horror,Gainax,24.0,23 min per ep,PG-13 - Teens 13 or older,6.39,4749.0,6225.0,3370.0,44.0,Wednesdays at 02:54 (JST),Spring,2004
90,99,126,"Ima, Soko ni Iru Boku","Now and Then, Here and There",今、そこにいる僕,TV,Original,Victor Entertainment,Drama,AIC,13.0,25 min per ep,R - 17+ (violence & profanity),7.73,26652.0,1038.0,1128.0,838.0,Thursdays at 19:00 (JST),Fall,1999
91,100,127,Peace Maker Kurogane,Peace Maker Kurogane,PEACE MAKER 鐵,TV,Manga,GDH,Action,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.39,18076.0,2118.0,1876.0,299.0,Unknown,Fall,2003
92,101,128,Pita Ten,Pita-Ten,ぴたテン,TV,Manga,Broccoli,Romance,Madhouse,26.0,24 min per ep,G - All Ages,7.03,8022.0,3564.0,3025.0,96.0,Sundays at 09:30 (JST),Spring,2002
93,102,129,Power Stone,Power stone,パワーストーン,TV,Game,Avex Entertainment,Adventure,Studio Pierrot,26.0,20 min per ep,PG - Children,6.53,2631.0,5673.0,5105.0,17.0,Saturdays at 17:00 (JST),Spring,1999
96,105,133,Scrapped Princess,Scrapped Princess,スクラップド・プリンセス,TV,Light novel,Kadokawa Shoten,Comedy,Bones,24.0,23 min per ep,PG-13 - Teens 13 or older,7.47,29989.0,1782.0,1284.0,417.0,Tuesdays at 18:00 (JST),Spring,2003
97,106,134,s.CRY.ed,s-CRY-ed,スクライド,TV,Original,Yomiko Advertising,Action,Sunrise,26.0,24 min per ep,PG-13 - Teens 13 or older,7.43,30526.0,1935.0,1429.0,615.0,Wednesdays at 18:00 (JST),Summer,2001
98,107,135,Shingetsutan Tsukihime,Lunar Legend Tsukihime,真月譚 月姫,TV,Visual novel,TBS,Action,J.C.Staff,12.0,24 min per ep,R - 17+ (violence & profanity),7.02,53265.0,3610.0,846.0,590.0,Unknown,Fall,2003
99,108,136,Slam Dunk,Slam Dunk,スラムダンク,TV,Manga,TV Asahi,Shounen,Toei Animation,101.0,23 min per ep,PG-13 - Teens 13 or older,8.54,60029.0,92.0,751.0,3750.0,Unknown,Fall,1993
100,110,138,Tenjou Tenge,Tenjho Tenge,天上天下,TV,Manga,TV Asahi,Action,Madhouse,24.0,23 min per ep,R - 17+ (violence & profanity),7.04,67126.0,3531.0,728.0,599.0,Unknown,Spring,2004
101,111,139,Tokyo Underground,Tokyo Underground,東京アンダーグラウンド,TV,Manga,TV Tokyo Music,Romance,Studio Pierrot,26.0,25 min per ep,PG-13 - Teens 13 or older,6.69,8865.0,4945.0,2761.0,38.0,Tuesdays at 18:30 (JST),Spring,2002
102,112,141,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,ツバサ・クロニクル,TV,Manga,NHK,Shounen,Bee Train,26.0,25 min per ep,PG-13 - Teens 13 or older,7.63,72410.0,1296.0,553.0,2148.0,Saturdays at 18:30 (JST),Spring,2005
103,113,142,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,TV,Manga,WAO World,Romance,Production Reed,26.0,24 min per ep,G - All Ages,7.25,9973.0,2684.0,2649.0,125.0,Tuesdays at 22:00 (JST),Spring,2003
104,114,143,Vandread,Vandread,ヴァンドレッド,TV,Original,GDH,Sci-Fi,Gonzo,13.0,22 min per ep,PG-13 - Teens 13 or older,7.28,35117.0,2563.0,1411.0,401.0,Tuesdays at 18:30 (JST),Fall,2000
106,116,145,Whistle!,whistle!,ホイッスル！,TV,Manga,Marvelous,School,Studio Comet,39.0,24 min per ep,G - All Ages,7.49,4787.0,1717.0,3956.0,64.0,Unknown,Spring,2002
107,117,146,Xenosaga The Animation,Zenosaga The Animation,ゼノサーガ THE ANIMATION,TV,Game,Happinet Pictures,Action,Toei Animation,12.0,23 min per ep,PG-13 - Teens 13 or older,6.43,6699.0,6095.0,3235.0,39.0,Thursdays at 02:42 (JST),Winter,2005
108,118,147,Initial D Second Stage,Initial D Second Stage,頭文字〈イニシャル〉D SECOND STAGE,TV,Manga,OB Planning,Sports,Pastel,13.0,23 min per ep,PG-13 - Teens 13 or older,8.16,52693.0,366.0,1117.0,365.0,Fridays at 01:55 (JST),Fall,1999
109,119,150,Love Hina,Love Hina,ラブひな,TV,Manga,Production I.G,Comedy,Xebec,24.0,23 min per ep,PG-13 - Teens 13 or older,7.23,104267.0,2739.0,473.0,1470.0,Unknown,Spring,2000
111,121,156,Onegai☆Teacher,Please Teacher!,おねがい☆ティーチャー,TV,Original,Bandai Visual,Romance,Daume,12.0,23 min per ep,PG-13 - Teens 13 or older,7.29,70677.0,2519.0,779.0,828.0,Thursdays at Unknown,Winter,2002
113,123,158,Rizelmine,Rizeru Main,りぜるまいん,TV,Manga,m.o.e.,Ecchi,Madhouse,24.0,15 min per ep,R+ - Mild Nudity,6.61,8192.0,5324.0,2917.0,45.0,Unknown,Spring,2002
114,124,159,Speed Grapher,Speed Grapher,スピードグラファー,TV,Original,TV Asahi,Mystery,Gonzo,24.0,23 min per ep,R+ - Mild Nudity,7.42,30851.0,1985.0,1135.0,552.0,Unknown,Spring,2005
115,126,163,Wolf's Rain,Wolf's Rain,ウルフズレイン,TV,Original,Bandai Visual,Sci-Fi,Bones,26.0,23 min per ep,PG-13 - Teens 13 or older,7.89,94639.0,730.0,386.0,5064.0,Tuesdays at 02:10 (JST),Winter,2003
118,130,169,Ranma ½,Ranma ½,らんま1/2,TV,Manga,Shogakukan Productions,Shounen,Studio Deen,161.0,24 min per ep,R+ - Mild Nudity,7.84,63538.0,831.0,643.0,2932.0,Unknown,Spring,1989
119,131,177,Kidou Senkan Nadesico,Martian Successor Nadesico,機動戦艦ナデシコ,TV,Original,Starchild Records,Action,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.57,14147.0,1454.0,2059.0,371.0,Tuesdays at 18:30 (JST),Fall,1996
120,132,179,Mezzo DSA,Maiso,メゾ,TV,Original,Studio Pierrot,Mystery,Arms,13.0,25 min per ep,R+ - Mild Nudity,6.74,6184.0,4724.0,3424.0,26.0,Unknown,Winter,2004
121,133,180,Dragon Ball,Dragon Ball,ドラゴンボール,TV,Manga,Fuji TV,Shounen,Toei Animation,153.0,24 min per ep,PG-13 - Teens 13 or older,8.14,312333.0,382.0,99.0,9545.0,Wednesdays at 19:00 (JST),Winter,1986
122,134,181,Dragon Ball GT,Dragon Ball GT,ドラゴンボールGT,TV,Manga,Fuji TV,Comedy,Toei Animation,64.0,23 min per ep,PG-13 - Teens 13 or older,6.65,223329.0,5110.0,210.0,1359.0,Wednesdays at 19:00 (JST),Winter,1996
123,135,182,Elfen Lied,Elfen Lied,エルフェンリート,TV,Manga,VAP,Drama,Arms,13.0,25 min per ep,R+ - Mild Nudity,7.72,549257.0,1067.0,18.0,20990.0,Sundays at 22:30 (JST),Summer,2004
124,136,184,Jigoku Shoujo,Hell Girl,地獄少女,TV,Original,Aniplex,Supernatural,Studio Deen,26.0,25 min per ep,R - 17+ (violence & profanity),7.73,88662.0,1040.0,357.0,2955.0,Unknown,Fall,2005
127,139,187,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,TV,Manga,NHK,School,Madhouse,70.0,25 min per ep,PG - Children,8.21,129042.0,312.0,318.0,10388.0,Tuesdays at 18:00 (JST),Spring,1998
128,141,189,Dan Doh!!,Dando,ダンドー,TV,Manga,TV Tokyo,Adventure,Tokyo Kids,26.0,24 min per ep,G - All Ages,6.74,1203.0,4704.0,6495.0,4.0,Unknown,Spring,2004
129,142,191,E's Otherwise,E's Otherwise,エスアザーワイズ,TV,Manga,Sotsu,Drama,Studio Pierrot,26.0,23 min per ep,PG-13 - Teens 13 or older,6.7,5622.0,4876.0,3520.0,27.0,Tuesdays at 18:00 (JST),Spring,2003
130,143,192,Koukyoushihen Eureka Seven,Eureka Seven,交響詩篇エウレカセブン,TV,Original,Aniplex,Drama,Bones,50.0,24 min per ep,PG-13 - Teens 13 or older,8.14,133989.0,391.0,224.0,8324.0,Sundays at 07:00 (JST),Spring,2005
131,144,193,Gankutsuou,Gankutsuou: The Count of Monte Cristo,巌窟王,TV,Novel,GDH,Drama,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),8.2,45028.0,318.0,666.0,2893.0,Tuesdays at 02:12 (JST),Fall,2004
132,145,194,Genshiken,Genshiken,げんしけん,TV,Manga,Genco,Slice of Life,Palm Studio,12.0,25 min per ep,PG-13 - Teens 13 or older,7.71,55702.0,1088.0,745.0,1220.0,Sundays at Unknown,Fall,2004
133,146,195,Girls Bravo: First Season,Girls Bravo,GIRLSブラボー first season,TV,Manga,Lantis,Comedy,AIC Spirits,11.0,23 min per ep,R+ - Mild Nudity,6.59,53617.0,5387.0,934.0,297.0,Unknown,Summer,2004
134,147,196,Gokusen,The Gokusen,ごくせん,TV,Manga,VAP,School,Madhouse,13.0,23 min per ep,R - 17+ (violence & profanity),7.46,14226.0,1808.0,2397.0,180.0,Unknown,Winter,2004
135,148,197,Great Teacher Onizuka,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,TV,Manga,Aniplex,Shounen,Studio Pierrot,43.0,25 min per ep,R - 17+ (violence & profanity),8.73,202638.0,36.0,153.0,15205.0,Wednesdays at 19:30 (JST),Summer,1999
136,149,198,Groove Adventure Rave,Rave Master,レイヴ,TV,Manga,TBS,Adventure,Studio Deen,51.0,24 min per ep,PG-13 - Teens 13 or older,7.38,27373.0,2150.0,1286.0,359.0,Unknown,Fall,2001
137,151,200,InuYasha,InuYasha,犬夜叉,TV,Manga,Yomiuri Telecasting,Shounen,Sunrise,167.0,24 min per ep,PG-13 - Teens 13 or older,7.91,194384.0,687.0,149.0,13185.0,Mondays at 19:00 (JST),Fall,2000
138,152,201,Konjiki no Gash Bell!!,Zatch Bell!,金色のガッシュベル!!,TV,Manga,Yomiko Advertising,Supernatural,Toei Animation,150.0,23 min per ep,PG-13 - Teens 13 or older,7.63,32062.0,1288.0,1250.0,911.0,Sundays at 09:00 (JST),Spring,2003
139,153,202,Kyou kara Maou!,King From Now On!,今日からマ王！,TV,Light novel,NHK,Adventure,Studio Deen,78.0,25 min per ep,PG-13 - Teens 13 or older,7.83,25994.0,846.0,1268.0,1347.0,Unknown,Spring,2004
141,155,204,Jungle wa Itsumo Hare nochi Guu,Haré+Guu,ジャングルはいつもハレのちグゥ,TV,Manga,Bandai Visual,Comedy,Shin-Ei Animation,26.0,23 min per ep,PG-13 - Teens 13 or older,7.92,10809.0,673.0,2503.0,376.0,Tuesdays at 18:00 (JST),Spring,2001
142,156,208,Happy☆Lesson (TV),HAPPY☆LESSON,HAPPY☆LESSON,TV,Manga,KSS,Romance,Studio Hibari,13.0,23 min per ep,PG-13 - Teens 13 or older,6.75,9425.0,4667.0,2844.0,21.0,Unknown,Spring,2002
143,157,209,Happy☆Lesson: Advance,HAPPY☆LESSON ADVANCE,HAPPY☆LESSON ADVANCE,TV,Manga,KSS,Romance,Studio Hibari,13.0,24 min per ep,PG-13 - Teens 13 or older,6.93,5188.0,3904.0,3721.0,8.0,Unknown,Summer,2003
144,158,211,Hajime no Ippo,Fighting Spirit,はじめの一歩 THE FIGHTING!,TV,Manga,VAP,Sports,Madhouse,75.0,23 min per ep,PG-13 - Teens 13 or older,8.79,128562.0,29.0,313.0,11764.0,Tuesdays at 00:50 (JST),Fall,2000
145,159,214,Gungrave,Gungrave,ガングレイヴ,TV,Game,Tohokushinsha Film Corporation,Action,Madhouse,26.0,25 min per ep,R - 17+ (violence & profanity),7.93,49372.0,655.0,764.0,2035.0,Unknown,Fall,2003
146,160,216,Bleach,Bleach,BLEACH - ブリーチ -,TV,Manga,TV Tokyo,Comedy,Studio Pierrot,366.0,24 min per ep,PG-13 - Teens 13 or older,7.89,465028.0,713.0,22.0,42878.0,Tuesdays at 18:00 (JST),Fall,2004
148,162,218,Gad Guard,Gadgard,ガドガード,TV,Original,Hal Film Maker,Shounen,Gonzo,26.0,25 min per ep,PG-13 - Teens 13 or older,6.76,3420.0,4610.0,3938.0,16.0,Thursdays at 02:58 (JST),Spring,2003
149,163,219,Noir,Noir,ノワール,TV,Original,Victor Entertainment,Mystery,Bee Train,26.0,24 min per ep,PG-13 - Teens 13 or older,7.37,29334.0,2196.0,1140.0,763.0,Fridays at 01:15 (JST),Spring,2001
